site,variety,rep,entry,,plot,grain.m,grain.a,straw.m,straw.a,pope.m,pope.a,poph.m,poph.a,height,height.sd,stem,stem.sd,male50,female50,malefemale,moist_perc,protein,oil,1000_kernal,lodging,leafspot,powmild,cerleafspot,southblight,fusarium,russet,cornworm,hempbore
wisconsin,altair,1,,,101,,937.0921019,,4246.77204,27,,,,195,,8.935,,,,,,,,,,,,,,,,,
wisconsin,altair,3,,,207,,1660.815541,,4594.72185,26,,,,256.3333333,,5.261,,,,,,,,,,,,,,,,,
wisconsin,altair,2,,,405,,1057.232115,,4157.55414,47,,,,169.6666667,,7.771,,,,,,,,,,,,,,,,,
wisconsin,altair,4,,,511,,1754.044191,,5406.60474,60,,,,195,,8.416,,,,,,,,,,,,,,,,,
wisconsin,anka,1,,,102,,1212.933572,,5915.14677,42,,,,195,,8.409,,,,,,,,,,,,,,,,,
wisconsin,anka,4,,,110,,1748.27747,,6120.34794,38,,,,192,,7.711,,,,,,,,,,,,,,,,,
wisconsin,anka,3,,,208,,1364.790548,,4291.38099,50,,,,195,,6.039,,,,,,,,,,,,,,,,,
wisconsin,anka,2,,,506,,1289.82318,,5022.96777,83,,,,222,,9.537,,,,,,,,,,,,,,,,,
wisconsin,bialobrzeskie,1,,,103,,993.7981881,,5237.09073,44,,,,198.3333333,,8.347,,,,,,,,,,,,,,,,,
wisconsin,bialobrzeskie,3,,,107,,1428.224475,,5460.13548,75,,,,166.6666667,,7.15,,,,,,,,,,,,,,,,,
wisconsin,bialobrzeskie,4,,,212,,1382.09071,,4764.23586,7,,,,195,,7.408,,,,,,,,,,,,,,,,,
wisconsin,bialobrzeskie,2,,,504,,1487.813922,,7101.74484,13,,,,234.6666667,,8.71,,,,,,,,,,,,,,,,,
wisconsin,cfx1,2,,,106,,614.1557468,,856.49184,60,,,,103,,6.964,,,,,,,,,,,,,,,,,
wisconsin,cfx1,4,,,112,,2214.420721,,2052.0117,5,,,,130.6666667,,6.871,,,,,,,,,,,,,,,,,
wisconsin,cfx1,1,,,201,,747.7514413,,1516.7043,8,,,,147.3333333,,6.54,,,,,,,,,,,,,,,,,
wisconsin,cfx1,3,,,409,,2186.548238,,2444.57046,40,,,,168.6666667,,7.587,,,,,,,,,,,,,,,,,
wisconsin,crs1,3,,,109,,2225.954162,,4282.4592,64,,,,143.6666667,,6.719,,,,,,,,,,,,,,,,,
wisconsin,crs1,1,,,202,,2127.919911,,3158.31366,54,,,,167,,6.956,,,,,,,,,,,,,,,,,
wisconsin,crs1,4,,,211,,1950.112692,,2489.17941,88,,,,171.3333333,,8.377,,,,,,,,,,,,,,,,,
wisconsin,crs1,2,,,306,,2323.027293,,3015.56502,24,,,,173,,9.342,,,,,,,,,,,,,,,,,
wisconsin,henola,1,,,203,,2216.342961,,4567.95648,15,,,,166.6666667,,6.646,,,,,,,,,,,,,,,,,
wisconsin,henola,2,,,205,,2116.38647,,4050.49266,49,,,,150,,13.135,,,,,,,,,,,,,,,,,
wisconsin,henola,3,,,309,,1780.955554,,3738.23001,50,,,,167.6666667,,8.818,,,,,,,,,,,,,,,,,
wisconsin,henola,4,,,412,,1662.737781,,3220.76619,85,,,,156.6666667,,7.916,,,,,,,,,,,,,,,,,
wisconsin,hlesia,4,,,111,,1486.852802,,4335.98994,23,,,,162.6666667,,6.657,,,,,,,,,,,,,,,,,
wisconsin,hlesia,2,,,206,,901.5306581,,4799.92302,57,,,,185.3333333,,5.632,,,,,,,,,,,,,,,,,
wisconsin,hlesia,1,,,301,,1192.75005,,4621.48722,40,,,,158.3333333,,8.755,,,,,,,,,,,,,,,,,
wisconsin,hlesia,3,,,407,,940.9365824,,3791.76075,86,,,,208,,8.309,,,,,,,,,,,,,,,,,
wisconsin,hliana,1,,,302,,1297.512141,,5647.49307,19,,,,220.6666667,,9.417,,,,,,,,,,,,,,,,,
wisconsin,hliana,2,,,304,,756.4015223,,3488.41989,11,,,,218.3333333,,9.263,,,,,,,,,,,,,,,,,
wisconsin,hliana,4,,,312,,1125.471642,,3372.43662,6,,,,166.3333333,,8.734,,,,,,,,,,,,,,,,,
wisconsin,hliana,3,,,509,,1157.188606,,5665.33665,32,,,,194,,8.757,,,,,,,,,,,,,,,,,
wisconsin,hlukauskii51,1,,,303,,844.8245719,,4237.85025,52,,,,178.6666667,,8.415,,,,,,,,,,,,,,,,,
wisconsin,hlukauskii51,3,,,307,,784.2740053,,3818.52612,44,,,,197.3333333,,10.132,,,,,,,,,,,,,,,,,
wisconsin,hlukauskii51,2,,,406,,1455.135838,,5968.67751,50,,,,191.3333333,,8.848,,,,,,,,,,,,,,,,,
wisconsin,hlukauskii51,4,,,411,,1112.015961,,4683.93975,66,,,,175.3333333,,8.45,,,,,,,,,,,,,,,,,
wisconsin,katani,3,,,108,,3383.142768,,2417.80509,48,,,,112,,5.952,,,,,,,,,,,,,,,,,
wisconsin,katani,2,,,204,,2013.546619,,1712.98368,38,,,,122,,6.617,,,,,,,,,,,,,,,,,
wisconsin,katani,1,,,401,,1412.846554,,1338.2685,26,,,,133,,8.25,,,,,,,,,,,,,,,,,
wisconsin,katani,4,,,510,,1969.335094,,2257.21287,64,,,,137.3333333,,9.519,,,,,,,,,,,,,,,,,
wisconsin,nwg2730,2,,,104,,558.4107807,,2872.81638,44,,,,174.6666667,,8.487,,,,,,,,,,,,,,,,,
wisconsin,nwg2730,1,,,403,,1073.571157,,3889.90044,27,,,,204.3333333,,8.014,,,,,,,,,,,,,,,,,
wisconsin,nwg2730,3,,,508,,1151.421885,,3800.68254,12,,,,233.3333333,,9.811,,,,,,,,,,,,,,,,,
wisconsin,nwg2730,4,,,512,,1587.770413,,5781.31992,19,,,,187.6666667,,7.735,,,,,,,,,,,,,,,,,
wisconsin,nwg452,3,,,209,,947.6644231,,3515.18526,51,,,,194.6666667,,5.86,,,,,,,,,,,,,,,,,
wisconsin,nwg452,1,,,402,,1090.871319,,3898.82223,60,,,,196,,8.242,,,,,,,,,,,,,,,,,
wisconsin,nwg452,4,,,410,,1282.134219,,4630.40901,42,,,,138.3333333,,8.4,,,,,,,,,,,,,,,,,
wisconsin,nwg452,2,,,505,,1187.944449,,4121.86698,37,,,,223.6666667,,8.407,,,,,,,,,,,,,,,,,
wisconsin,rigel,3,,,308,,1220.622533,,4541.19111,12,,,,218.6666667,,8.359,,,,,,,,,,,,,,,,,
wisconsin,rigel,4,,,310,,1437.835676,,4683.93975,24,,,,203.6666667,,8.545,,,,,,,,,,,,,,,,,
wisconsin,rigel,2,,,404,,1213.894692,,3979.11834,46,,,,182.3333333,,9.171,,,,,,,,,,,,,,,,,
wisconsin,rigel,1,,,501,,1175.449888,,2765.7549,5,,,,204.6666667,,8.626,,,,,,,,,,,,,,,,,
wisconsin,vega,2,,,105,,1135.082843,,4362.75531,40,,,,152.3333333,,8.346,,,,,,,,,,,,,,,,,
wisconsin,vega,4,,,311,,1792.488995,,4898.06271,44,,,,178,,8.156,,,,,,,,,,,,,,,,,
wisconsin,vega,1,,,502,,1993.363097,,5165.71641,54,,,,173,,9.176,,,,,,,,,,,,,,,,,
wisconsin,vega,3,,,507,,1681.960183,,4906.9845,87,,,,180.6666667,,8.324,,,,,,,,,,,,,,,,,
wisconsin,x59,4,,,210,,2903.543836,,3131.54829,99,,,,147.6666667,,7.322,,,,,,,,,,,,,,,,,
wisconsin,x59,2,,,305,,2990.044645,,3283.21872,21,,,,147.6666667,,8.461,,,,,,,,,,,,,,,,,
wisconsin,x59,3,,,408,,2642.119167,,2970.95607,30,,,,131.3333333,,8.685,,,,,,,,,,,,,,,,,
wisconsin,x59,1,,,503,,2579.646361,,2676.537,34,,,,144.3333333,,10.262,,,,,,,,,,,,,,,,,
